Brand,Description,link,pricewas,pricenow
APPLE,IPHONE SE 256GB,https://www.davidjones.com/brand/apple/23490013/IPHONE-SE-256GB.html,$999.00,$999.00
APPLE,IPHONE SE 256GB,https://www.davidjones.com/brand/apple/23490011/IPHONE-SE-256GB.html,$999.00,$999.00
APPLE,IPHONE SE 256GB,https://www.davidjones.com/brand/apple/23490012/IPHONE-SE-256GB.html,$999.00,$999.00
APPLE,IPAD PRO 11-INCH WI-FI 128GB - SILVER - MY252X/A,https://www.davidjones.com/brand/apple/23470093/iPad-Pro-11-inch-WI-FI-128GB---Silver---MY252X%7CA.html,"$1,329.00","$1,329.00"
APPLE,IPAD PRO 11-INCH WI-FI 256GB - SILVER - MXDD2X/A,https://www.davidjones.com/brand/apple/23470095/iPad-Pro-11-inch-WI-FI-256GB---Silver---MXDD2X%7CA.html,"$1,499.00","$1,499.00"
APPLE,IPAD PRO 11-INCH WI-FI 512GB - SPACE GREY - MXDE2X/A,https://www.davidjones.com/brand/apple/23470096/iPad-Pro-11-inch-WI-FI-512GB---Space-Grey---MXDE2X%7CA.html,"$1,839.00","$1,839.00"
APPLE,IPAD PRO 11-INCH WI-FI + CELL 128GB - SPACE GREY - MY2V2X/A,https://www.davidjones.com/brand/apple/23470100/iPad-Pro-11-inch-WI-FI-+-CELL-128GB---Space-Grey---MY2V2X%7CA.html,"$1,579.00","$1,579.00"
APPLE,IPAD PRO 11-INCH WI-FI + CELL 128GB -SILVER - MY2W2X/A,https://www.davidjones.com/brand/apple/23470101/iPad-Pro-11-inch-WI-FI-+-CELL-128GB--Silver---MY2W2X%7CA.html,"$1,579.00","$1,579.00"
APPLE,IPAD PRO 11-INCH WI-FI 512GB - SILVER - MXDF2X/A,https://www.davidjones.com/brand/apple/23470097/iPad-Pro-11-inch-WI-FI-512GB---Silver---MXDF2X%7CA.html,"$1,839.00","$1,839.00"
APPLE,IPAD PRO 11-INCH WI-FI + CELL 256GB - SPACE GREY - MXE42X/A,https://www.davidjones.com/brand/apple/23470102/iPad-Pro-11-inch-WI-FI-+-CELL-256GB---Space-Grey---MXE42X%7CA.html,"$1,749.00","$1,749.00"
APPLE,IPAD PRO 11-INCH WI-FI + CELL 256GB SILVER - MXE52X/A,https://www.davidjones.com/brand/apple/23470103/iPad-Pro-11-inch-WI-FI-+-CELL-256GB-Silver---MXE52X%7CA.html,"$1,749.00","$1,749.00"
APPLE,IPAD PRO 11-INCH WI-FI + CELL 512GB - SPACE GREY - MXE62X/A,https://www.davidjones.com/brand/apple/23470104/iPad-Pro-11-inch-WI-FI-+-CELL-512GB---Space-Grey---MXE62X%7CA.html,"$2,089.00","$2,089.00"
APPLE,IPAD PRO 11-INCH WI-FI + CELL 1TB - SPACE GREY -MXE82X/A,https://www.davidjones.com/brand/apple/23470106/iPad-Pro-11-inch-WI-FI-+-CELL-1TB---Space-Grey--MXE82X%7CA.html,"$2,429.00","$2,429.00"
APPLE,IPAD PRO 12.9-INCH WI-FI 512GB - SPACE GREY - MXAV2X/A,https://www.davidjones.com/brand/apple/23470112/iPad-Pro-12.9-inch-WI-FI-512GB---Space-Grey---MXAV2X%7CA.html,"$2,159.00","$2,159.00"
APPLE,IPAD PRO 12.9-INCH WI-FI 512GB - SILVER - MXAW2X/A,https://www.davidjones.com/brand/apple/23470113/iPad-Pro-12.9-inch-WI-FI-512GB---Silver---MXAW2X%7CA.html,"$2,159.00","$2,159.00"
APPLE,IPAD PRO 12.9-INCH WI-FI 1TB SPACE GREY - MXAX2X/A,https://www.davidjones.com/brand/apple/23470114/iPad-Pro-12.9-inch-WI-FI-1TB-Space-Grey---MXAX2X%7CA.html,"$2,499.00","$2,499.00"
APPLE,IPAD PRO 12.9-INCH WI-FI 1TB - SILVER - MXAY2X/A,https://www.davidjones.com/brand/apple/23470115/iPad-Pro-12.9-inch-WI-FI-1TB---Silver---MXAY2X%7CA.html,"$2,499.00","$2,499.00"
APPLE,IPAD PRO 12.9-INCH WI-FI + CELL 128GB - SPACE GREY -MXAY2X/A,https://www.davidjones.com/brand/apple/23470116/iPad-Pro-12.9-inch-WI-FI-+-CELL-128GB---Space-Grey--MXAY2X%7CA.html,"$1,899.00","$1,899.00"
APPLE,IPAD PRO 12.9-INCH WI-FI + CELL 128GB - SILVER - MY3D2X/A,https://www.davidjones.com/brand/apple/23470117/iPad-Pro-12.9-inch-WI-FI-+-CELL-128GB---Silver---MY3D2X%7CA.html,"$1,899.00","$1,899.00"
APPLE,IPAD PRO 12.9-INCH WI-FI + CELL 256GB - SPACE GEY -MXF52X/A,https://www.davidjones.com/brand/apple/23470118/iPad-Pro-12.9-inch-WI-FI-+-CELL-256GB---Space-Gey--MXF52X%7CA.html,"$2,069.00","$2,069.00"
APPLE,IPAD PRO 12.9-INCH WI-FI+CELL 256GB - SILVER - MXF62X/A,https://www.davidjones.com/brand/apple/23470119/iPad-Pro-12.9-inch-WI-FI+CELL-256GB---Silver---MXF62X%7CA.html,"$2,069.00","$2,069.00"
APPLE,IPAD PRO 12.9-INCH WI-FI + CELL 512GB - SILVER - MXF82X/A,https://www.davidjones.com/brand/apple/23470121/iPad-Pro-12.9-inch-WI-FI-+-CELL-512GB---Silver---MXF82X%7CA.html,"$2,409.00","$2,409.00"
APPLE,IPAD PRO 12.9-INCH WI-FI + CELL 1TB - SILVER - MXFA2X/A,https://www.davidjones.com/brand/apple/23470123/iPad-Pro-12.9-inch-WI-FI-+-CELL-1TB---Silver---MXFA2X%7CA.html,"$2,749.00","$2,749.00"
APPLE,IPHONE 11 PRO 256GB - GOLD - MWC92X/A,https://www.davidjones.com/brand/apple/23016135/iPhone-11-Pro-256GB---Gold---MWC92X%7CA.html,"$1,999.00","$1,999.00"
APPLE,IPHONE 11 PRO MAX 256GB - GOLD - MWHL2X/A,https://www.davidjones.com/brand/apple/23016147/iPhone-11-Pro-Max-256GB---Gold---MWHL2X%7CA.html,"$2,149.00","$2,149.00"
APPLE,IPHONE 11 PRO MAX 512GB - GOLD - MWHQ2X/A,https://www.davidjones.com/brand/apple/23016151/iPhone-11-Pro-Max-512GB---Gold---MWHQ2X%7CA.html,"$2,499.00","$2,499.00"
APPLE,AIRPODS WITH WIRELESS CASE MRXJ2ZA/A,https://www.davidjones.com/brand/apple/22662274/AIRPODS-WITH-WIRELESS-CASE-MRXJ2ZA%7CA.html,$319.00,$319.00
APPLE,WATCH S5 GPS 44MM GOLD ALUMINIUM PINK SAND SPORT BAND,https://www.davidjones.com/brand/apple/23016528/Watch-S5-GPS-44mm-Gold-Aluminium-Pink-Sand-Sport-Band.html,$699.00,$699.00
APPLE,AIRPODS WITH STANDARD CHARGING CASE MV7N2ZA/A,https://www.davidjones.com/brand/apple/22662275/AIRPODS-WITH-STANDARD-CHARGING-CASE-MV7N2ZA%7CA.html,$249.00,$249.00
APPLE,IPHONE 11 PRO MAX 256GB - MIDNIGHT GREEN - MWHM2X/A,https://www.davidjones.com/brand/apple/23016148/iPhone-11-Pro-Max-256GB---Midnight-Green---MWHM2X%7CA.html,"$2,149.00","$2,149.00"
